pass_,arm,cell,treatment,round,event,value
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,2,instructions:u,7031999551
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,2,branches:u,1248074521
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,2,cycles:u,2900096699
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,2,branch-misses:u,1763121
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,2,L1-icache-load-misses:u,415031
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,2,elapsed_s,0.968003964
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,3,instructions:u,6988458531
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,3,branches:u,1235433648
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,3,cycles:u,2875634132
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,3,branch-misses:u,1770779
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,3,L1-icache-load-misses:u,431087
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,3,elapsed_s,0.957676125
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,4,instructions:u,6977698108
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,4,branches:u,1232309639
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,4,cycles:u,2866623195
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,4,branch-misses:u,1787769
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,4,L1-icache-load-misses:u,430790
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,4,elapsed_s,0.953843726
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,5,instructions:u,6988183523
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,5,branches:u,1235353735
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,5,cycles:u,2870070320
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,5,branch-misses:u,1767621
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,5,L1-icache-load-misses:u,438499
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,5,elapsed_s,0.954962771
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,1,instructions:u,4760538666
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,1,branches:u,1333046708
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,1,cycles:u,3219925937
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,1,branch-misses:u,236173
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,1,L1-icache-load-misses:u,32674
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,1,elapsed_s,0.970712931
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,2,instructions:u,4752690553
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,2,branches:u,1330768273
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,2,cycles:u,3212716949
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,2,branch-misses:u,237485
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,2,L1-icache-load-misses:u,30794
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,2,elapsed_s,0.969081899
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,3,instructions:u,4755103832
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,3,branches:u,1331468889
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,3,cycles:u,3213312004
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,3,branch-misses:u,240975
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,3,L1-icache-load-misses:u,31053
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,3,elapsed_s,0.969341928
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,4,instructions:u,4752845847
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,4,branches:u,1330813224
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,4,cycles:u,3213353420
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,4,branch-misses:u,237863
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,4,L1-icache-load-misses:u,30885
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,4,elapsed_s,0.969356101
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,5,instructions:u,4740925691
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,5,branches:u,1327352727
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,5,cycles:u,3211119864
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,5,branch-misses:u,237673
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,5,L1-icache-load-misses:u,30773
A,510a4bb,f7_n1000_bound_physics,MakeConstraint,5,elapsed_s,0.968740985
A,510a4bb,f7_n1000_bound_physics,MakeParameter,1,instructions:u,914226653
A,510a4bb,f7_n1000_bound_physics,MakeParameter,1,branches:u,216374983
A,510a4bb,f7_n1000_bound_physics,MakeParameter,1,cycles:u,516572805
A,510a4bb,f7_n1000_bound_physics,MakeParameter,1,branch-misses:u,236992
A,510a4bb,f7_n1000_bound_physics,MakeParameter,1,L1-icache-load-misses:u,32324
A,510a4bb,f7_n1000_bound_physics,MakeParameter,1,elapsed_s,0.164378593
A,510a4bb,f7_n1000_bound_physics,MakeParameter,2,instructions:u,4202712364
A,510a4bb,f7_n1000_bound_physics,MakeParameter,2,branches:u,1171097076
A,510a4bb,f7_n1000_bound_physics,MakeParameter,2,cycles:u,2824982633
A,510a4bb,f7_n1000_bound_physics,MakeParameter,2,branch-misses:u,237051
A,510a4bb,f7_n1000_bound_physics,MakeParameter,2,L1-icache-load-misses:u,30965
A,510a4bb,f7_n1000_bound_physics,MakeParameter,2,elapsed_s,0.854217346
A,510a4bb,f7_n1000_bound_physics,MakeParameter,3,instructions:u,4198923417
A,510a4bb,f7_n1000_bound_physics,MakeParameter,3,branches:u,1169997056
A,510a4bb,f7_n1000_bound_physics,MakeParameter,3,cycles:u,2824179618
A,510a4bb,f7_n1000_bound_physics,MakeParameter,3,branch-misses:u,238480
A,510a4bb,f7_n1000_bound_physics,MakeParameter,3,L1-icache-load-misses:u,31108
A,510a4bb,f7_n1000_bound_physics,MakeParameter,3,elapsed_s,0.854008897
A,510a4bb,f7_n1000_bound_physics,MakeParameter,4,instructions:u,3834553912
A,510a4bb,f7_n1000_bound_physics,MakeParameter,4,branches:u,1064212352
A,510a4bb,f7_n1000_bound_physics,MakeParameter,4,cycles:u,2567935625
A,510a4bb,f7_n1000_bound_physics,MakeParameter,4,branch-misses:u,237148
A,510a4bb,f7_n1000_bound_physics,MakeParameter,4,L1-icache-load-misses:u,30311
A,510a4bb,f7_n1000_bound_physics,MakeParameter,4,elapsed_s,0.777701656
A,510a4bb,f7_n1000_bound_physics,MakeParameter,5,instructions:u,4188096280
A,510a4bb,f7_n1000_bound_physics,MakeParameter,5,branches:u,1166853725
A,510a4bb,f7_n1000_bound_physics,MakeParameter,5,cycles:u,2828970897
A,510a4bb,f7_n1000_bound_physics,MakeParameter,5,branch-misses:u,238278
A,510a4bb,f7_n1000_bound_physics,MakeParameter,5,L1-icache-load-misses:u,31118
A,510a4bb,f7_n1000_bound_physics,MakeParameter,5,elapsed_s,0.855542221
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,1,instructions:u,4756051715
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,1,branches:u,1331744058
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,1,cycles:u,3214001794
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,1,branch-misses:u,236623
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,1,L1-icache-load-misses:u,30090
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,1,elapsed_s,0.969239739
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,2,instructions:u,4754287298
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,2,branches:u,1331231804
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,2,cycles:u,3214282239
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,2,branch-misses:u,237863
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,2,L1-icache-load-misses:u,31211
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,2,elapsed_s,0.969498197
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,3,instructions:u,4831053182
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,3,branches:u,1353518819
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,3,cycles:u,3212782969
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,3,branch-misses:u,239609
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,3,L1-icache-load-misses:u,30055
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,3,elapsed_s,0.969200889
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,4,instructions:u,4752199784
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,4,branches:u,1330625764
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,4,cycles:u,3213300894
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,4,branch-misses:u,237536
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,4,L1-icache-load-misses:u,32466
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,4,elapsed_s,0.969311992
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,5,instructions:u,4752275726
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,5,branches:u,1330647897
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,5,cycles:u,3212393968
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,5,branch-misses:u,237361
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,5,L1-icache-load-misses:u,31149
A,510a4bb,f7_n1000_bound_physics,RelaxBounds,5,elapsed_s,0.968842694
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,1,instructions:u,14150130558
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,1,branches:u,2505574534
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,1,cycles:u,5936351363
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,1,branch-misses:u,3438432
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,1,L1-icache-load-misses:u,879418
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,1,elapsed_s,1.969862565
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,2,instructions:u,14142091506
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,2,branches:u,2503240372
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,2,cycles:u,5951452392
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,2,branch-misses:u,3442311
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,2,L1-icache-load-misses:u,839314
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,2,elapsed_s,1.978528294
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,3,instructions:u,14113956722
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,3,branches:u,2495072358
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,3,cycles:u,5906022791
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,3,branch-misses:u,3470230
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,3,L1-icache-load-misses:u,857464
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,3,elapsed_s,1.962518961
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,4,instructions:u,14130435664
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,4,branches:u,2499856458
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,4,cycles:u,5919218213
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,4,branch-misses:u,3455468
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,4,L1-icache-load-misses:u,858704
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,4,elapsed_s,1.967343884
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,5,instructions:u,14205482471
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,5,branches:u,2521644371
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,5,cycles:u,5916885232
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,5,branch-misses:u,3443671
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,5,L1-icache-load-misses:u,849821
A,510a4bb,f7_n20000_bound_neutral,MakeConstraint,5,elapsed_s,1.965145555
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,1,instructions:u,12219382103
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,1,branches:u,1945196928
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,1,cycles:u,4577100768
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,1,branch-misses:u,3470068
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,1,L1-icache-load-misses:u,844786
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,1,elapsed_s,1.563505766
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,2,instructions:u,12210231508
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,2,branches:u,1942540844
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,2,cycles:u,4566147413
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,2,branch-misses:u,3445199
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,2,L1-icache-load-misses:u,852070
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,2,elapsed_s,1.563149088
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,3,instructions:u,12202640628
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,3,branches:u,1940337034
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,3,cycles:u,4579227189
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,3,branch-misses:u,3450732
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,3,L1-icache-load-misses:u,851427
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,3,elapsed_s,1.568004014
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,4,instructions:u,12226162908
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,4,branches:u,1947166174
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,4,cycles:u,4576006741
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,4,branch-misses:u,3465167
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,4,L1-icache-load-misses:u,858587
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,4,elapsed_s,1.565808022
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,5,instructions:u,12209093735
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,5,branches:u,1942210522
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,5,cycles:u,4581617758
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,5,branch-misses:u,3435934
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,5,L1-icache-load-misses:u,847922
A,510a4bb,f7_n20000_bound_neutral,MakeParameter,5,elapsed_s,1.567426675
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,1,instructions:u,14148216200
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,1,branches:u,2505181907
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,1,cycles:u,5932124583
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,1,branch-misses:u,3452083
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,1,L1-icache-load-misses:u,871736
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,1,elapsed_s,1.968372062
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,2,instructions:u,14181913866
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,2,branches:u,2514965475
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,2,cycles:u,5889763902
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,2,branch-misses:u,3458529
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,2,L1-icache-load-misses:u,863387
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,2,elapsed_s,1.960824899
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,3,instructions:u,14137972992
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,3,branches:u,2502208002
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,3,cycles:u,5926850857
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,3,branch-misses:u,3444358
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,3,L1-icache-load-misses:u,848550
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,3,elapsed_s,1.969555098
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,4,instructions:u,14136719319
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,4,branches:u,2501843864
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,4,cycles:u,5933739059
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,4,branch-misses:u,3429502
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,4,L1-icache-load-misses:u,869757
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,4,elapsed_s,1.970387079
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,5,instructions:u,14142595552
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,5,branches:u,2503550041
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,5,cycles:u,5929152289
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,5,branch-misses:u,3465237
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,5,L1-icache-load-misses:u,816342
A,510a4bb,f7_n20000_bound_neutral,RelaxBounds,5,elapsed_s,1.969455175
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,1,instructions:u,5325099199
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,1,branches:u,1291967703
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,1,cycles:u,3079712441
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,1,branch-misses:u,782099
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,1,L1-icache-load-misses:u,142485
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,1,elapsed_s,0.967434208
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,2,instructions:u,5320492629
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,2,branches:u,1290630205
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,2,cycles:u,3077665670
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,2,branch-misses:u,799391
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,2,L1-icache-load-misses:u,141143
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,2,elapsed_s,0.967184479
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,3,instructions:u,5313148299
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,3,branches:u,1288498071
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,3,cycles:u,3073931373
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,3,branch-misses:u,791716
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,3,L1-icache-load-misses:u,138156
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,3,elapsed_s,0.966447372
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,4,instructions:u,5362935943
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,4,branches:u,1302952462
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,4,cycles:u,3077323705
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,4,branch-misses:u,793252
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,4,L1-icache-load-misses:u,142594
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,4,elapsed_s,0.967037723
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,5,instructions:u,5316363149
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,5,branches:u,1289431412
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,5,cycles:u,3076784477
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,5,branch-misses:u,799632
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,5,L1-icache-load-misses:u,142301
A,510a4bb,f7_n5000_bound_physics,MakeConstraint,5,elapsed_s,0.967755729
A,510a4bb,f7_n5000_bound_physics,MakeParameter,1,instructions:u,6032897252
A,510a4bb,f7_n5000_bound_physics,MakeParameter,1,branches:u,1497457438
A,510a4bb,f7_n5000_bound_physics,MakeParameter,1,cycles:u,3586545725
A,510a4bb,f7_n5000_bound_physics,MakeParameter,1,branch-misses:u,798231
A,510a4bb,f7_n5000_bound_physics,MakeParameter,1,L1-icache-load-misses:u,140044
A,510a4bb,f7_n5000_bound_physics,MakeParameter,1,elapsed_s,1.118623164
A,510a4bb,f7_n5000_bound_physics,MakeParameter,2,instructions:u,6045380616
A,510a4bb,f7_n5000_bound_physics,MakeParameter,2,branches:u,1501081634
A,510a4bb,f7_n5000_bound_physics,MakeParameter,2,cycles:u,3590614611
A,510a4bb,f7_n5000_bound_physics,MakeParameter,2,branch-misses:u,799651
A,510a4bb,f7_n5000_bound_physics,MakeParameter,2,L1-icache-load-misses:u,143627
A,510a4bb,f7_n5000_bound_physics,MakeParameter,2,elapsed_s,1.119834828
A,510a4bb,f7_n5000_bound_physics,MakeParameter,3,instructions:u,5995826073
A,510a4bb,f7_n5000_bound_physics,MakeParameter,3,branches:u,1486694789
A,510a4bb,f7_n5000_bound_physics,MakeParameter,3,cycles:u,3561212671
A,510a4bb,f7_n5000_bound_physics,MakeParameter,3,branch-misses:u,790765
A,510a4bb,f7_n5000_bound_physics,MakeParameter,3,L1-icache-load-misses:u,146910
A,510a4bb,f7_n5000_bound_physics,MakeParameter,3,elapsed_s,1.108580783
A,510a4bb,f7_n5000_bound_physics,MakeParameter,4,instructions:u,5992930741
A,510a4bb,f7_n5000_bound_physics,MakeParameter,4,branches:u,1485854248
A,510a4bb,f7_n5000_bound_physics,MakeParameter,4,cycles:u,3553803164
A,510a4bb,f7_n5000_bound_physics,MakeParameter,4,branch-misses:u,795640
