# hven M6 W4 T5 -- v0 trace evidence. PROVENANCE (CLAUDE.md section 7).
# produced-by: docs/notes/data/2026-09-m6-w4-acceptance/probes/trace-exemplar-probe.cpp
# invocation: MKL_NUM_THREADS=1 OMP_NUM_THREADS=1 taskset -c 2 <probe> \
#             docs/notes/data/2026-09-m6-w4-acceptance <this header>
# binary-sha256-16: a08e926c6339edc1
# code-head: 1df1ae8  (branch m6; window BASE fb46802). The probe is committed in
#            the DOCS commit that carries this file, so it cannot name its own
#            commit; the code head is what the numbers depend on. See PROVENANCE.txt.
# toolchain: clang 22.1.8 (Fedora 22.1.8-4.fc44); Release flags, uniform regime (CLAUDE.md section 7)
# backend: Intel oneAPI MKL 2026.1; MKL_NUM_THREADS=1 OMP_NUM_THREADS=1
# machine: AMD Ryzen 7 5800X3D, Fedora 44, kernel 7.1.9-200.fc44; pinned taskset -c 2, run SOLO
# date-utc: 2026-09-05T06:27:47Z
# APPLE / ACCELERATE: UNOBSERVED. Every value below is MKL-on-Linux and none is inferred.
# The '#' lines are this header only; strip them and the remainder is the artifact
# (JSON lines, or a CSV with its own header row).
cell,mode,major,qp_solved,tr_binding,verdict,active_set_delta,weak_active_rows,near_active_rows,active_rows,active_lower_sides,active_upper_sides
hs5,ipm,2,1,0,0,0,0,0,0,0,0
hs5,ipm,3,1,0,0,0,0,0,0,0,0
hs5,ipm,4,0,0,2,0,0,0,0,0,0
hs6,walk,0,1,1,1,0,0,0,0,0,0
hs6,walk,1,1,1,1,0,0,0,0,0,0
hs6,walk,2,1,1,1,0,0,0,0,0,0
hs6,walk,3,1,0,1,0,0,0,0,0,0
hs6,walk,4,1,1,1,0,0,0,0,0,0
hs6,walk,5,1,0,1,0,0,0,0,0,0
hs6,walk,6,1,0,1,0,0,0,0,0,0
hs6,walk,7,1,0,1,0,0,0,0,0,0
hs6,walk,8,0,0,2,0,0,0,0,0,0
hs6,ssn,0,1,1,1,0,0,0,0,0,0
hs6,ssn,1,1,1,1,0,0,0,0,0,0
hs6,ssn,2,1,1,1,0,0,0,0,0,0
hs6,ssn,3,1,0,1,0,0,0,0,0,0
hs6,ssn,4,1,1,1,0,0,0,0,0,0
hs6,ssn,5,1,0,1,0,0,0,0,0,0
hs6,ssn,6,1,0,1,0,0,0,0,0,0
hs6,ssn,7,1,0,1,0,0,0,0,0,0
hs6,ssn,8,0,0,2,0,0,0,0,0,0
hs6,ipm,0,1,1,1,0,0,0,0,0,0
hs6,ipm,1,1,1,1,0,0,0,0,0,0
hs6,ipm,2,1,1,1,0,0,0,0,0,0
hs6,ipm,3,1,0,1,0,0,0,0,0,0
hs6,ipm,4,1,1,1,0,0,0,0,0,0
hs6,ipm,5,1,0,1,0,0,0,0,0,0
hs6,ipm,6,1,0,1,0,0,0,0,0,0
hs6,ipm,7,1,0,1,0,0,0,0,0,0
hs6,ipm,8,0,0,2,0,0,0,0,0,0
hs7,walk,0,1,1,1,0,0,0,0,0,0
hs7,walk,1,1,1,1,0,0,0,0,0,0
hs7,walk,2,1,1,1,0,0,0,0,0,0
hs7,walk,3,1,1,1,0,0,0,0,0,0
hs7,walk,4,1,0,1,0,0,0,0,0,0
hs7,walk,5,1,0,1,0,0,0,0,0,0
hs7,walk,6,1,0,1,0,0,0,0,0,0
hs7,walk,7,1,0,1,0,0,0,0,0,0
hs7,walk,8,1,0,1,0,0,0,0,0,0
hs7,walk,9,0,0,2,0,0,0,0,0,0
hs7,ssn,0,1,1,1,0,0,0,0,0,0
hs7,ssn,1,1,1,1,0,0,0,0,0,0
hs7,ssn,2,1,1,1,0,0,0,0,0,0
hs7,ssn,3,1,1,1,0,0,0,0,0,0
hs7,ssn,4,1,0,1,0,0,0,0,0,0
hs7,ssn,5,1,0,1,0,0,0,0,0,0
hs7,ssn,6,1,0,1,0,0,0,0,0,0
hs7,ssn,7,1,0,1,0,0,0,0,0,0
hs7,ssn,8,1,0,1,0,0,0,0,0,0
hs7,ssn,9,0,0,2,0,0,0,0,0,0
hs7,ipm,0,1,1,1,0,0,0,0,0,0
hs7,ipm,1,1,1,1,0,0,0,0,0,0
hs7,ipm,2,1,1,1,0,0,0,0,0,0
hs7,ipm,3,1,1,1,0,0,0,0,0,0
hs7,ipm,4,1,0,1,0,0,0,0,0,0
hs7,ipm,5,1,0,1,0,0,0,0,0,0
hs7,ipm,6,1,0,1,0,0,0,0,0,0
hs7,ipm,7,1,0,1,0,0,0,0,0,0
hs7,ipm,8,1,0,1,0,0,0,0,0,0
hs7,ipm,9,0,0,2,0,0,0,0,0,0
hs10,walk,0,1,1,1,1,1,0,1,0,0
hs10,walk,1,1,1,1,0,1,0,1,0,0
hs10,walk,2,1,1,1,0,1,0,1,0,0
hs10,walk,3,1,1,1,0,1,0,1,0,0
hs10,walk,4,1,1,1,0,1,0,1,0,0
hs10,walk,5,1,1,1,0,1,0,1,0,0
hs10,walk,6,1,1,1,0,1,0,1,0,0
hs10,walk,7,1,1,1,0,1,0,1,0,0
hs10,walk,8,1,1,1,0,0,0,1,0,0
hs10,walk,9,1,1,1,0,0,0,1,0,0
hs10,walk,10,1,0,1,0,0,0,1,0,0
hs10,walk,11,1,0,1,0,0,0,1,0,0
hs10,walk,12,1,0,1,0,0,0,1,0,0
hs10,walk,13,1,0,1,0,0,0,1,0,0
hs10,walk,14,0,0,2,0,0,0,0,0,0
hs10,ssn,0,1,1,1,1,1,0,1,0,0
hs10,ssn,1,1,1,1,0,1,0,1,0,0
hs10,ssn,2,1,1,1,0,1,0,1,0,0
hs10,ssn,3,1,1,1,0,1,0,1,0,0
hs10,ssn,4,1,1,1,0,1,0,1,0,0
hs10,ssn,5,1,1,1,0,1,0,1,0,0
hs10,ssn,6,1,1,1,0,1,0,1,0,0
hs10,ssn,7,1,1,1,0,1,0,1,0,0
hs10,ssn,8,1,1,1,0,0,0,1,0,0
hs10,ssn,9,1,1,1,0,0,0,1,0,0
hs10,ssn,10,1,0,1,0,0,0,1,0,0
hs10,ssn,11,1,0,1,0,0,0,1,0,0
hs10,ssn,12,1,0,1,0,0,0,1,0,0
hs10,ssn,13,1,0,1,0,0,0,1,0,0
hs10,ssn,14,0,0,2,0,0,0,0,0,0
hs10,ipm,0,1,1,1,1,1,0,1,0,0
hs10,ipm,1,1,1,1,0,1,0,1,0,0
hs10,ipm,2,1,1,1,0,1,0,1,0,0
hs10,ipm,3,1,1,1,0,1,0,1,0,0
hs10,ipm,4,1,1,1,0,1,0,1,0,0
hs10,ipm,5,1,1,1,0,1,0,1,0,0
hs10,ipm,6,1,1,1,0,1,0,1,0,0
hs10,ipm,7,1,1,1,0,1,0,1,0,0
hs10,ipm,8,1,1,1,0,0,0,1,0,0
hs10,ipm,9,1,1,1,0,0,0,1,0,0
hs10,ipm,10,1,0,1,0,0,0,1,0,0
hs10,ipm,11,1,0,1,0,0,0,1,0,0
hs10,ipm,12,1,0,1,0,0,0,1,0,0
hs10,ipm,13,1,0,1,0,0,0,1,0,0
hs10,ipm,14,0,0,2,0,0,0,0,0,0
hs11,walk,0,1,1,1,1,1,0,1,0,0
hs11,walk,1,1,1,1,0,1,0,1,0,0
hs11,walk,2,1,1,1,0,0,0,1,0,0
hs11,walk,3,1,0,1,0,0,0,1,0,0
hs11,walk,4,1,0,1,0,0,0,1,0,0
hs11,walk,5,1,0,1,0,0,0,1,0,0
hs11,walk,6,1,0,1,0,0,0,1,0,0
hs11,walk,7,0,0,2,0,0,0,0,0,0
hs11,ssn,0,1,1,1,1,1,0,1,0,0
hs11,ssn,1,1,1,1,0,1,0,1,0,0
hs11,ssn,2,1,1,1,0,0,0,1,0,0
hs11,ssn,3,1,0,1,0,0,0,1,0,0
hs11,ssn,4,1,0,1,0,0,0,1,0,0
hs11,ssn,5,1,0,1,0,0,0,1,0,0
hs11,ssn,6,1,0,1,0,0,0,1,0,0
hs11,ssn,7,0,0,2,0,0,0,0,0,0
hs11,ipm,0,1,1,1,1,1,0,1,0,0
hs11,ipm,1,1,1,1,0,1,0,1,0,0
hs11,ipm,2,1,1,1,0,0,0,1,0,0
hs11,ipm,3,1,0,1,0,0,0,1,0,0
hs11,ipm,4,1,0,1,0,0,0,1,0,0
hs11,ipm,5,1,0,1,0,0,0,1,0,0
hs11,ipm,6,1,0,1,0,0,0,1,0,0
hs11,ipm,7,0,0,2,0,0,0,0,0,0
hs12,walk,0,1,1,0,0,0,0,0,0,0
hs12,walk,1,1,1,0,1,0,0,1,0,0
hs12,walk,2,1,0,1,0,0,0,1,0,0
hs12,walk,3,1,0,1,0,0,0,1,0,0
hs12,walk,4,1,0,1,0,0,0,1,0,0
hs12,walk,5,1,0,1,0,0,0,1,0,0
hs12,walk,6,0,0,2,0,0,0,0,0,0
hs12,ssn,0,1,1,0,0,0,0,0,0,0
hs12,ssn,1,1,1,0,1,0,0,1,0,0
hs12,ssn,2,1,0,1,0,0,0,1,0,0
hs12,ssn,3,1,0,1,0,0,0,1,0,0
hs12,ssn,4,1,0,1,0,0,0,1,0,0
hs12,ssn,5,1,0,1,0,0,0,1,0,0
hs12,ssn,6,0,0,2,0,0,0,0,0,0
hs12,ipm,0,1,1,0,0,0,0,0,0,0
hs12,ipm,1,1,1,0,1,0,0,1,0,0
hs12,ipm,2,1,0,1,0,0,0,1,0,0
hs12,ipm,3,1,0,1,0,0,0,1,0,0
hs12,ipm,4,1,0,1,0,0,0,1,0,0
hs12,ipm,5,1,0,1,0,0,0,1,0,0
hs12,ipm,6,0,0,2,0,0,0,0,0,0
hs14,walk,0,1,0,1,1,0,0,1,0,0
hs14,walk,1,1,0,1,0,0,0,1,0,0
hs14,walk,2,1,0,1,0,0,0,1,0,0
hs14,walk,3,1,0,1,0,0,0,1,0,0
hs14,walk,4,1,0,1,0,0,0,1,0,0
hs14,walk,5,0,0,2,0,0,0,0,0,0
hs14,ssn,0,1,0,1,1,0,0,1,0,0
hs14,ssn,1,1,0,1,0,0,0,1,0,0
hs14,ssn,2,1,0,1,0,0,0,1,0,0
hs14,ssn,3,1,0,1,0,0,0,1,0,0
hs14,ssn,4,1,0,1,0,0,0,1,0,0
hs14,ssn,5,0,0,2,0,0,0,0,0,0
hs14,ipm,0,1,0,1,1,0,0,1,0,0
hs14,ipm,1,1,0,1,0,0,0,1,0,0
hs14,ipm,2,1,0,1,0,0,0,1,0,0
hs14,ipm,3,1,0,1,0,0,0,1,0,0
hs14,ipm,4,1,0,1,0,0,0,1,0,0
hs14,ipm,5,0,0,2,0,0,0,0,0,0
hs15,walk,0,1,1,0,2,2,0,2,0,0
hs15,walk,1,1,0,1,1,0,0,1,0,0
hs15,walk,2,1,0,1,1,0,0,2,0,0
hs15,walk,3,1,0,0,1,0,0,1,0,0
hs15,walk,4,1,0,1,0,0,0,1,0,0
hs15,walk,5,1,0,0,0,0,0,1,0,0
hs15,walk,6,1,0,1,0,0,0,1,0,0
hs15,walk,7,0,0,2,0,0,0,0,0,0
hs15,ssn,0,1,1,0,2,2,0,2,0,0
hs15,ssn,1,1,0,1,1,0,0,1,0,0
hs15,ssn,2,1,0,1,1,0,0,2,0,0
hs15,ssn,3,1,0,0,1,0,0,1,0,0
hs15,ssn,4,1,0,1,0,0,0,1,0,0
hs15,ssn,5,1,0,0,0,0,0,1,0,0
hs15,ssn,6,1,0,1,0,0,0,1,0,0
hs15,ssn,7,0,0,2,0,0,0,0,0,0
hs15,ipm,0,1,1,0,2,2,0,2,0,0
hs15,ipm,1,1,0,1,1,0,0,1,0,0
hs15,ipm,2,1,1,2,2,0,0,1,0,0
hs15,ipm,3,1,1,1,1,2,0,2,0,0
hs15,ipm,4,1,0,0,1,0,0,1,0,0
hs15,ipm,5,1,0,1,0,0,0,1,0,0
hs15,ipm,6,1,0,1,0,0,0,1,0,0
hs15,ipm,7,1,0,1,0,0,0,1,0,0
hs15,ipm,8,1,0,0,0,0,0,1,0,0
hs15,ipm,9,0,0,2,0,0,0,0,0,0
hs22,walk,0,1,1,1,1,0,0,1,0,0
hs22,walk,1,1,0,0,1,0,0,2,0,0
hs22,walk,2,0,0,2,0,0,0,0,0,0
hs22,ssn,0,1,1,1,1,0,0,1,0,0
hs22,ssn,1,1,0,0,1,0,0,2,0,0
hs22,ssn,2,0,0,2,0,0,0,0,0,0
hs22,ipm,0,1,1,1,1,0,0,1,0,0
hs22,ipm,1,1,0,0,1,0,0,2,0,0
hs22,ipm,2,0,0,2,0,0,0,0,0,0
hs24,walk,0,1,1,0,1,0,0,1,0,0
hs24,walk,1,1,0,0,1,0,0,2,0,0
hs24,walk,2,1,0,0,0,0,0,2,0,0
hs24,walk,3,0,0,2,0,0,0,0,0,0
hs24,ssn,0,1,1,0,1,0,0,1,0,0
hs24,ssn,1,1,0,0,1,0,0,2,0,0
hs24,ssn,2,1,0,0,0,0,0,2,0,0
hs24,ssn,3,0,0,2,0,0,0,0,0,0
hs24,ipm,0,1,1,0,1,0,0,1,0,0
hs24,ipm,1,1,0,0,1,0,0,2,0,0
hs24,ipm,2,1,0,0,0,0,0,2,0,0
hs24,ipm,3,0,0,2,0,0,0,0,0,0
hs25,walk,0,0,0,2,0,0,0,0,0,0
hs25,ssn,0,0,0,2,0,0,0,0,0,0
hs25,ipm,0,0,0,2,0,0,0,0,0,0
hs26,walk,0,1,1,0,0,0,0,0,0,0
hs26,walk,1,1,1,0,0,0,0,0,0,0
hs26,walk,2,1,0,0,0,0,0,0,0,0
hs26,walk,3,1,0,1,0,0,0,0,0,0
hs26,walk,4,1,0,0,0,0,0,0,0,0
hs26,walk,5,1,0,0,0,0,0,0,0,0
hs26,walk,6,1,0,0,0,0,0,0,0,0
hs26,walk,7,1,0,0,0,0,0,0,0,0
hs26,walk,8,1,0,0,0,0,0,0,0,0
hs26,walk,9,1,0,0,0,0,0,0,0,0
hs26,walk,10,1,0,0,0,0,0,0,0,0
hs26,walk,11,1,0,0,0,0,0,0,0,0
hs26,walk,12,1,0,0,0,0,0,0,0,0
hs26,walk,13,1,0,0,0,0,0,0,0,0
hs26,walk,14,1,0,0,0,0,0,0,0,0
hs26,walk,15,1,0,0,0,0,0,0,0,0
hs26,walk,16,1,0,0,0,0,0,0,0,0
hs26,walk,17,0,0,2,0,0,0,0,0,0
hs26,ssn,0,1,1,0,0,0,0,0,0,0
hs26,ssn,1,1,1,0,0,0,0,0,0,0
hs26,ssn,2,1,0,0,0,0,0,0,0,0
hs26,ssn,3,1,0,1,0,0,0,0,0,0
hs26,ssn,4,1,0,0,0,0,0,0,0,0
hs26,ssn,5,1,0,0,0,0,0,0,0,0
hs26,ssn,6,1,0,0,0,0,0,0,0,0
hs26,ssn,7,1,0,0,0,0,0,0,0,0
hs26,ssn,8,1,0,0,0,0,0,0,0,0
hs26,ssn,9,1,0,0,0,0,0,0,0,0
hs26,ssn,10,1,0,0,0,0,0,0,0,0
hs26,ssn,11,1,0,0,0,0,0,0,0,0
hs26,ssn,12,1,0,0,0,0,0,0,0,0
hs26,ssn,13,1,0,0,0,0,0,0,0,0
hs26,ssn,14,1,0,0,0,0,0,0,0,0
hs26,ssn,15,1,0,0,0,0,0,0,0,0
hs26,ssn,16,1,0,0,0,0,0,0,0,0
hs26,ssn,17,0,0,2,0,0,0,0,0,0
hs26,ipm,0,1,1,0,0,0,0,0,0,0
hs26,ipm,1,1,1,0,0,0,0,0,0,0
hs26,ipm,2,1,0,0,0,0,0,0,0,0
hs26,ipm,3,1,0,1,0,0,0,0,0,0
hs26,ipm,4,1,0,0,0,0,0,0,0,0
hs26,ipm,5,1,0,0,0,0,0,0,0,0
hs26,ipm,6,1,0,0,0,0,0,0,0,0
hs26,ipm,7,1,0,0,0,0,0,0,0,0
hs26,ipm,8,1,0,0,0,0,0,0,0,0
hs26,ipm,9,1,0,0,0,0,0,0,0,0
hs26,ipm,10,1,0,0,0,0,0,0,0,0
hs26,ipm,11,1,0,0,0,0,0,0,0,0
hs26,ipm,12,1,0,0,0,0,0,0,0,0
hs26,ipm,13,1,0,0,0,0,0,0,0,0
hs26,ipm,14,1,0,0,0,0,0,0,0,0
hs26,ipm,15,1,0,0,0,0,0,0,0,0
hs26,ipm,16,1,0,0,0,0,0,0,0,0
hs26,ipm,17,0,0,2,0,0,0,0,0,0
hs27,walk,0,1,1,1,0,0,0,0,0,0
hs27,walk,1,1,1,1,0,0,0,0,0,0
hs27,walk,2,1,0,1,0,0,0,0,0,0
hs27,walk,3,1,1,0,0,0,0,0,0,0
hs27,walk,4,0,0,2,0,0,0,0,0,0
hs27,ssn,0,1,1,1,0,0,0,0,0,0
hs27,ssn,1,1,1,1,0,0,0,0,0,0
hs27,ssn,2,1,1,1,0,0,0,0,0,0
hs27,ssn,3,1,0,0,0,0,0,0,0,0
hs27,ssn,4,0,0,2,0,0,0,0,0,0
hs27,ipm,0,1,1,1,0,0,0,0,0,0
hs27,ipm,1,1,1,1,0,0,0,0,0,0
hs27,ipm,2,1,1,1,0,0,0,0,0,0
hs27,ipm,3,1,0,0,0,0,0,0,0,0
hs27,ipm,4,0,0,2,0,0,0,0,0,0
hs28,walk,0,1,1,0,0,0,0,0,0,0
hs28,walk,1,1,1,0,0,0,0,0,0,0
hs28,walk,2,1,0,0,0,0,0,0,0,0
hs28,walk,3,0,0,2,0,0,0,0,0,0
hs28,ssn,0,1,1,0,0,0,0,0,0,0
hs28,ssn,1,1,1,0,0,0,0,0,0,0
hs28,ssn,2,1,0,0,0,0,0,0,0,0
hs28,ssn,3,0,0,2,0,0,0,0,0,0
hs28,ipm,0,1,1,0,0,0,0,0,0,0
hs28,ipm,1,1,1,0,0,0,0,0,0,0
hs28,ipm,2,1,0,0,0,0,0,0,0,0
hs28,ipm,3,0,0,2,0,0,0,0,0,0
hs30,walk,0,1,1,0,2,0,0,1,1,0
hs30,walk,1,1,0,0,0,0,0,1,1,0
hs30,walk,2,1,0,0,0,0,0,1,1,0
hs30,walk,3,1,0,0,0,0,0,1,1,0
hs30,walk,4,1,0,0,0,0,0,1,1,0
hs30,walk,5,1,0,0,0,0,0,1,1,0
hs30,walk,6,1,0,0,0,0,0,1,1,0
hs30,walk,7,1,0,0,0,0,0,1,1,0
hs30,walk,8,1,0,0,0,0,0,1,1,0
hs30,walk,9,1,0,0,0,0,0,1,1,0
hs30,walk,10,1,0,0,0,0,0,1,1,0
hs30,walk,11,0,0,2,0,0,0,0,0,0
hs30,ssn,0,1,1,0,2,0,0,1,1,0
hs30,ssn,1,1,0,0,0,0,0,1,1,0
hs30,ssn,2,1,0,0,0,0,0,1,1,0
hs30,ssn,3,1,0,0,0,0,0,1,1,0
hs30,ssn,4,1,0,0,0,0,0,1,1,0
hs30,ssn,5,1,0,0,0,0,0,1,1,0
hs30,ssn,6,1,0,0,0,0,0,1,1,0
hs30,ssn,7,1,0,0,0,0,0,1,1,0
hs30,ssn,8,1,0,0,0,0,0,1,1,0
hs30,ssn,9,1,0,0,0,0,0,1,1,0
hs30,ssn,10,1,0,0,0,0,0,1,1,0
hs30,ssn,11,0,0,2,0,0,0,0,0,0
hs30,ipm,0,1,0,0,2,0,0,1,1,0
hs30,ipm,1,1,0,0,0,0,0,1,1,0
hs30,ipm,2,1,0,0,0,0,0,1,1,0
hs30,ipm,3,1,0,0,0,0,0,1,1,0
hs30,ipm,4,1,0,0,0,0,0,1,1,0
hs30,ipm,5,1,0,0,0,0,0,1,1,0
hs30,ipm,6,1,0,0,0,0,0,1,1,0
hs30,ipm,7,1,0,0,0,0,0,1,1,0
hs30,ipm,8,1,0,0,0,0,0,1,1,0
hs30,ipm,9,1,0,0,0,0,0,1,1,0
hs30,ipm,10,1,0,0,0,0,0,1,1,0
hs30,ipm,11,0,0,2,0,0,0,0,0,0
hs33,walk,0,1,0,0,2,0,0,1,1,0
hs33,walk,1,1,0,0,1,0,0,1,2,0
hs33,walk,2,1,0,0,0,0,0,1,2,0
hs33,walk,3,1,0,0,0,0,0,1,2,0
hs33,walk,4,0,0,2,0,0,0,0,0,0
hs33,ssn,0,1,0,0,2,0,0,1,1,0
hs33,ssn,1,1,0,0,0,0,0,1,1,0
hs33,ssn,2,1,0,0,0,0,0,1,1,0
